,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
96,Lesotho,0.37545,0.31767,0.16388,97,4.898,0.07612,Sub-Saharan Africa,1.04103,0.12504,2015
97,Dominican Republic,0.89537,0.57672,0.21684,98,4.885,0.66825,Latin America and Caribbean,1.17202,0.14234,2015
98,Laos,0.59066,0.59591,0.42192,99,4.876,0.54909,Southeastern Asia,0.73803,0.24249,2015
99,Mongolia,0.82819,0.43626,0.3323,100,4.874,0.60268,Eastern Asia,1.3006,0.02666,2015
100,Swaziland,0.71206,0.30658,0.18259,101,4.867,0.07566,Sub-Saharan Africa,1.07284,0.0306,2015
101,Greece,1.15406,0.07699,0.0,102,4.857,0.88213,Western Europe,0.92933,0.01397,2015
102,Lebanon,1.02564,0.33916,0.21854,103,4.839,0.83947,Middle East and Northern Africa,0.80001,0.04582,2015
103,Hungary,1.12094,0.32112,0.128,104,4.8,0.75905,Central and Eastern Europe,1.20215,0.02758,2015
104,Honduras,0.59532,0.40148,0.23027,105,4.788,0.6951,Latin America and Caribbean,0.95348,0.06825,2015
105,Tajikistan,0.39047,0.47216,0.22974,106,4.786,0.57379,Central and Eastern Europe,0.85563,0.15072,2015
106,Tunisia,0.88113,0.26268,0.06431,107,4.739,0.73793,Middle East and Northern Africa,0.60429,0.06358,2015
107,Palestinian Territories,0.59867,0.24499,0.11251,108,4.715,0.66015,Middle East and Northern Africa,0.92558,0.12905,2015
108,Bangladesh,0.39753,0.4082,0.21222,109,4.694,0.60164,Southern Asia,0.43106,0.12569,2015
109,Iran,1.0088,0.30033,0.38086,110,4.686,0.69805,Middle East and Northern Africa,0.54447,0.05863,2015
110,Ukraine,0.79907,0.25123,0.15275,111,4.681,0.6739,Central and Eastern Europe,1.20278,0.02961,2015
111,Iraq,0.98549,0.0,0.17922,112,4.677,0.60237,Middle East and Northern Africa,0.81889,0.13788,2015
112,South Africa,0.92049,0.33207,0.11973,113,4.642,0.27688,Sub-Saharan Africa,1.18468,0.08884,2015
113,Ghana,0.54558,0.42342,0.23087,114,4.633,0.40132,Sub-Saharan Africa,0.67954,0.04355,2015
114,Zimbabwe,0.271,0.25861,0.18987,115,4.61,0.33475,Sub-Saharan Africa,1.03276,0.08079,2015
115,Liberia,0.0712,0.28531,0.24362,116,4.571,0.34201,Sub-Saharan Africa,0.78968,0.06232,2015
116,India,0.64499,0.39786,0.26475,117,4.565,0.51529,Southern Asia,0.38174,0.08492,2015
117,Sudan,0.52107,0.10081,0.19062,118,4.55,0.36878,Sub-Saharan Africa,1.01404,0.1466,2015
118,Haiti,0.26673,0.24425,0.46187,119,4.518,0.38847,Latin America and Caribbean,0.74302,0.17175,2015
119,RD Congo,0.0,0.22605,0.24834,120,4.517,0.09806,Sub-Saharan Africa,1.0012,0.07625,2015
120,Nepal,0.35997,0.38282,0.32296,121,4.514,0.56874,Southern Asia,0.86449,0.05907,2015
121,Ethiopia,0.19073,0.4345,0.24325,122,4.512,0.44055,Sub-Saharan Africa,0.60406,0.15048,2015
122,Sierra Leone,0.33024,0.4084,0.21488,123,4.507,0.0,Sub-Saharan Africa,0.95571,0.08786,2015
123,Mauritania,0.45407,0.24232,0.219,124,4.436,0.35874,Sub-Saharan Africa,0.86908,0.17461,2015
124,Kenya,0.36471,0.42215,0.37542,125,4.419,0.41435,Sub-Saharan Africa,0.99876,0.05839,2015
